Dates,Price
2019/11/5 09:30,20.25
2019/11/5 09:31,20.2
2019/11/5 09:32,20.2
2019/11/5 09:33,20.05
2019/11/5 09:34,20.05
2019/11/5 09:35,20.05
2019/11/5 09:36,20.05
2019/11/5 09:37,20.05
2019/11/5 09:38,20.1
2019/11/5 09:39,20.05
2019/11/5 09:40,20.05
2019/11/5 09:41,20.05
2019/11/5 09:42,20
2019/11/5 09:43,20
2019/11/5 09:44,20.05
2019/11/5 09:45,20.05
2019/11/5 09:46,20.1
2019/11/5 09:47,20.15
2019/11/5 09:48,20.1
2019/11/5 09:49,20.15
2019/11/5 09:50,20.2
2019/11/5 09:51,20.2
2019/11/5 09:52,20.25
2019/11/5 09:53,20.35
2019/11/5 09:54,20.45
2019/11/5 09:55,20.45
2019/11/5 09:56,20.45
2019/11/5 09:57,20.55
2019/11/5 09:58,20.4
2019/11/5 09:59,20.35
2019/11/5 10:00,20.35
2019/11/5 10:01,20.35
2019/11/5 10:02,20.35
2019/11/5 10:03,20.4
2019/11/5 10:04,20.35
2019/11/5 10:05,20.35
2019/11/5 10:06,20.3
2019/11/5 10:07,20.35
2019/11/5 10:08,20.35
2019/11/5 10:09,20.3
2019/11/5 10:10,20.3
2019/11/5 10:11,20.25
2019/11/5 10:12,20.25
2019/11/5 10:13,20.25
2019/11/5 10:14,20.25
2019/11/5 10:15,20.3
2019/11/5 10:16,20.3
2019/11/5 10:17,20.25
2019/11/5 10:18,20.25
2019/11/5 10:19,20.25
2019/11/5 10:20,20.25
2019/11/5 10:21,20.3
2019/11/5 10:22,20.3
2019/11/5 10:23,20.3
2019/11/5 10:24,20.35
2019/11/5 10:25,20.3
2019/11/5 10:26,20.3
2019/11/5 10:27,20.3
2019/11/5 10:28,20.3
2019/11/5 10:29,20.35
2019/11/5 10:30,20.35
2019/11/5 10:31,20.35
2019/11/5 10:32,20.4
2019/11/5 10:33,20.4
2019/11/5 10:34,20.4
2019/11/5 10:35,20.4
2019/11/5 10:36,20.45
2019/11/5 10:37,20.45
2019/11/5 10:38,20.45
2019/11/5 10:39,20.45
2019/11/5 10:40,20.45
2019/11/5 10:41,20.5
2019/11/5 10:42,20.5
2019/11/5 10:43,20.5
2019/11/5 10:44,20.45
2019/11/5 10:45,20.5
2019/11/5 10:46,20.5
2019/11/5 10:47,20.5
2019/11/5 10:48,20.5
2019/11/5 10:49,20.5
2019/11/5 10:50,20.5
2019/11/5 10:51,20.5
2019/11/5 10:52,20.45
2019/11/5 10:53,20.5
2019/11/5 10:54,20.5
2019/11/5 10:55,20.45
2019/11/5 10:56,20.5
2019/11/5 10:57,20.5
2019/11/5 10:58,20.5
2019/11/5 10:59,20.5
2019/11/5 11:00,20.5
2019/11/5 11:01,20.5
2019/11/5 11:02,20.45
2019/11/5 11:03,20.5
2019/11/5 11:04,20.5
2019/11/5 11:05,20.5
2019/11/5 11:06,20.55
2019/11/5 11:07,20.55
2019/11/5 11:08,20.45
2019/11/5 11:09,20.45
2019/11/5 11:10,20.45
2019/11/5 11:11,20.35
2019/11/5 11:12,20.35
2019/11/5 11:13,20.35
2019/11/5 11:14,20.35
2019/11/5 11:15,20.35
2019/11/5 11:16,20.35
2019/11/5 11:17,20.35
2019/11/5 11:18,20.3
2019/11/5 11:19,20.35
2019/11/5 11:20,20.35
2019/11/5 11:21,20.35
2019/11/5 11:22,20.35
2019/11/5 11:23,20.35
2019/11/5 11:24,20.35
2019/11/5 11:25,20.35
2019/11/5 11:26,20.4
2019/11/5 11:27,20.4
2019/11/5 11:28,20.4
2019/11/5 11:29,20.4
2019/11/5 11:30,20.4
2019/11/5 11:31,20.4
2019/11/5 11:32,20.4
2019/11/5 11:33,20.4
2019/11/5 11:34,20.4
2019/11/5 11:35,20.45
2019/11/5 11:36,20.45
2019/11/5 11:37,20.45
2019/11/5 11:38,20.45
2019/11/5 11:39,20.45
2019/11/5 11:40,20.45
2019/11/5 11:41,20.45
2019/11/5 11:42,20.45
2019/11/5 11:43,20.45
2019/11/5 11:44,20.45
2019/11/5 11:45,20.45
2019/11/5 11:46,20.45
2019/11/5 11:47,20.45
2019/11/5 11:48,20.45
2019/11/5 11:49,20.45
2019/11/5 11:50,20.45
2019/11/5 11:51,20.45
2019/11/5 11:52,20.45
2019/11/5 11:53,20.45
2019/11/5 11:54,20.45
2019/11/5 11:55,20.5
2019/11/5 11:56,20.5
2019/11/5 11:57,20.45
2019/11/5 11:58,20.45
2019/11/5 11:59,20.5
2019/11/5 13:00,20.45
2019/11/5 13:01,20.45
2019/11/5 13:02,20.4
2019/11/5 13:03,20.4
2019/11/5 13:04,20.35
2019/11/5 13:05,20.35
2019/11/5 13:06,20.35
2019/11/5 13:07,20.35
2019/11/5 13:08,20.35
2019/11/5 13:09,20.3
2019/11/5 13:10,20.35
2019/11/5 13:11,20.35
2019/11/5 13:12,20.35
2019/11/5 13:13,20.35
2019/11/5 13:14,20.3
2019/11/5 13:15,20.35
2019/11/5 13:16,20.35
2019/11/5 13:17,20.45
2019/11/5 13:18,20.45
2019/11/5 13:19,20.45
2019/11/5 13:20,20.45
2019/11/5 13:21,20.45
2019/11/5 13:22,20.45
2019/11/5 13:23,20.45
2019/11/5 13:24,20.4
2019/11/5 13:25,20.35
2019/11/5 13:26,20.4
2019/11/5 13:27,20.4
2019/11/5 13:28,20.3
2019/11/5 13:29,20.35
2019/11/5 13:30,20.35
2019/11/5 13:31,20.3
2019/11/5 13:32,20.3
2019/11/5 13:33,20.3
2019/11/5 13:34,20.3
2019/11/5 13:35,20.35
2019/11/5 13:36,20.35
2019/11/5 13:37,20.35
2019/11/5 13:38,20.35
2019/11/5 13:39,20.3
2019/11/5 13:40,20.3
2019/11/5 13:41,20.3
2019/11/5 13:42,20.25
2019/11/5 13:43,20.35
2019/11/5 13:44,20.3
2019/11/5 13:45,20.3
2019/11/5 13:46,20.3
2019/11/5 13:47,20.25
2019/11/5 13:48,20.3
2019/11/5 13:49,20.25
2019/11/5 13:50,20.25
2019/11/5 13:51,20.25
2019/11/5 13:52,20.25
2019/11/5 13:53,20.25
2019/11/5 13:54,20.25
2019/11/5 13:55,20.25
2019/11/5 13:56,20.2
2019/11/5 13:57,20.25
2019/11/5 13:58,20.2
2019/11/5 13:59,20.2
2019/11/5 14:00,20.2
2019/11/5 14:01,20.2
2019/11/5 14:02,20.2
2019/11/5 14:03,20.15
2019/11/5 14:04,20.2
2019/11/5 14:05,20.15
2019/11/5 14:06,20.2
2019/11/5 14:07,20.2
2019/11/5 14:08,20.15
2019/11/5 14:09,20.15
2019/11/5 14:10,20.2
2019/11/5 14:11,20.15
2019/11/5 14:12,20.15
2019/11/5 14:13,20.15
2019/11/5 14:14,20.15
2019/11/5 14:15,20.15
2019/11/5 14:16,20.15
2019/11/5 14:17,20.15
2019/11/5 14:18,20.1
2019/11/5 14:19,20.15
2019/11/5 14:20,20.1
2019/11/5 14:21,20.1
2019/11/5 14:22,20.1
2019/11/5 14:23,20.1
2019/11/5 14:24,20.1
2019/11/5 14:25,20.1
2019/11/5 14:26,20.1
2019/11/5 14:27,20.1
2019/11/5 14:28,20.1
2019/11/5 14:29,20.1
2019/11/5 14:30,20.15
2019/11/5 14:31,20.1
2019/11/5 14:32,20.1
2019/11/5 14:33,20.1
2019/11/5 14:34,20.05
2019/11/5 14:35,20.05
2019/11/5 14:36,20
2019/11/5 14:37,20
2019/11/5 14:38,20.05
2019/11/5 14:39,20.05
2019/11/5 14:40,20.05
2019/11/5 14:41,20.05
2019/11/5 14:42,20.05
2019/11/5 14:43,20.05
2019/11/5 14:44,20.05
2019/11/5 14:45,20.05
2019/11/5 14:46,20.05
2019/11/5 14:47,20
2019/11/5 14:48,20
2019/11/5 14:49,20.05
2019/11/5 14:50,20.05
2019/11/5 14:51,20.05
2019/11/5 14:52,20
2019/11/5 14:53,20.05
2019/11/5 14:54,20.05
2019/11/5 14:55,20.05
2019/11/5 14:56,20.05
2019/11/5 14:57,20.15
2019/11/5 14:58,20.15
2019/11/5 14:59,20.2
2019/11/5 15:00,20.15
2019/11/5 15:01,20.15
2019/11/5 15:02,20.15
2019/11/5 15:03,20.2
2019/11/5 15:04,20.25
2019/11/5 15:05,20.25
2019/11/5 15:06,20.25
2019/11/5 15:07,20.2
2019/11/5 15:08,20.25
2019/11/5 15:09,20.2
2019/11/5 15:10,20.25
2019/11/5 15:11,20.2
2019/11/5 15:12,20.25
2019/11/5 15:13,20.25
2019/11/5 15:14,20.2
2019/11/5 15:15,20.25
2019/11/5 15:16,20.25
2019/11/5 15:17,20.25
2019/11/5 15:18,20.25
2019/11/5 15:19,20.2
2019/11/5 15:20,20.2
2019/11/5 15:21,20.25
2019/11/5 15:22,20.25
2019/11/5 15:23,20.2
2019/11/5 15:24,20.2
2019/11/5 15:25,20.25
2019/11/5 15:26,20.25
2019/11/5 15:27,20.2
2019/11/5 15:28,20.2
2019/11/5 15:29,20.2
2019/11/5 15:30,20.2
2019/11/5 15:31,20.25
2019/11/5 15:32,20.25
2019/11/5 15:33,20.25
2019/11/5 15:34,20.25
2019/11/5 15:35,20.25
2019/11/5 15:36,20.25
2019/11/5 15:37,20.25
2019/11/5 15:38,20.25
2019/11/5 15:39,20.25
2019/11/5 15:40,20.25
2019/11/5 15:41,20.25
2019/11/5 15:42,20.25
