Dates,t-4_t-3,t-3_t-2,t-2_t-1,t-1_t,2007 % change,3883 % change,1109 % change,1113 % change,16 % change,914 % change,388 % change,Volume,Volume_Indicator,Ticks,3333_TicksAvg,BB_LOWER,BB_SIGNAL,BB_WIDTH,BB_PERCENT,MOMENTUM,MOM_MA,MACD,MACD_SIGNAL,MACD_DIFF,RSI,DMI_PLUS,DMI_MINUS,ADX,ADXR,ADX_SIGNAL,FEAR_GREED,VMAVG,Y
6/11/2019 9:30,1,-1,0,0,0.001727116,0.007142857,-0.008595989,0.00733945,-0.000829187,0.003024194,0,66000,0,35,1885.714286,20.19397675,0,0.848355549,0.325628542,-0.05,0.03,0.016249269,0.013687546,0.002561724,47.57104011,21.28432912,33.15598387,18.02899116,15.010495,0,-0.007410256,20.27074336,0
6/11/2019 9:31,-1,0,0,-1,-0.001724138,-0.00177305,0,-0.000910747,0,0.001005025,0,13000,0,16,812.5,20.18544024,0,0.907999144,0.079077779,-0.1,0.02,0.007794387,0.012508914,-0.004714527,43.13150389,19.91728717,31.0264537,18.29883,15.9924223,0,-0.093615385,20.26916679,0
6/11/2019 9:32,0,0,-1,-1,0.001727116,0.003552398,-0.001445087,0,0,0,-0.001603849,9000,0,35,257.1428571,20.16537857,1,1.056815158,-0.071781034,-0.05,0.01,-0.002907238,0.009425683,-0.012332921,39.19253135,18.62876853,35.48859252,19.2170698,17.23804952,0,-0.149692308,20.26420945,0
6/11/2019 9:33,0,-1,-1,0,-0.001724138,0,0.002894356,-0.000911577,0.004149378,0,0.001606426,8000,0,23,347.826087,20.14802197,0,1.179011042,0.008277804,-0.1,-0.03,-0.011258571,0.005288833,-0.016547404,39.19253135,17.41543675,33.17714411,20.06972105,18.39470336,0,-0.162384615,20.25864174,1
6/11/2019 9:34,-1,-1,0,1,-0.001727116,0,-0.001443001,0,-0.004132231,-0.003012048,-0.004811548,32000,0,23,1391.304348,20.14053689,0,1.203830812,0.243774981,-0.05,-0.06,-0.013684731,0.00149412,-0.015178851,45.01614924,16.27394456,31.00255318,20.86146863,20.09171406,0,-0.134974359,20.25435357,0
6/11/2019 9:35,-1,0,1,0,0.001730104,0,0,-0.000912409,0,0.001007049,-0.001611604,4000,0,25,160,20.13390793,0,1.220210499,0.267379899,-0.1,-0.08,-0.015429618,-0.001890628,-0.01353899,45.01614924,16.27394456,31.00255318,21.59666282,20.43071829,0,-0.109076923,20.25104139,0
6/11/2019 9:36,0,1,0,0,0,0,0,0.000913242,0,-0.001006036,0.000807103,60000,0,28,2142.857143,20.12810145,0,1.228476021,0.288984684,-0.05,-0.07,-0.016620858,-0.004836674,-0.011784184,45.01614924,15.1242517,35.87696283,22.960517,21.08609487,0,-0.092333333,20.24730899,0
6/11/2019 9:37,1,0,0,0,0.001727116,0,0.001445087,-0.000912409,-0.000829876,0.001007049,-0.000806452,98000,0,21,4666.666667,20.12310145,0,1.228779386,0.309081381,-0.1,-0.08,-0.017364754,-0.00734229,-0.010022464,45.01614924,21.12509821,33.34040614,22.92245183,21.04240824,0,-0.084076923,20.24384952,0
6/11/2019 9:38,0,0,0,0,0.001724138,-0.001769912,0,0,0.000830565,-0.002012072,0,6000,0,7,857.1428571,20.11890793,0,1.221114694,0.328063404,-0.2,-0.1,-0.01774969,-0.00942377,-0.00832592,45.01614924,21.12509821,33.34040614,22.88710559,21.00184208,0,-0.075974359,20.24010861,0
6/11/2019 9:39,0,0,0,-1,0,0,0.001443001,0,-0.000829876,-0.001008065,-0.001614205,21000,0,32,656.25,20.10759619,0,1.283793063,0.163212343,-0.2,-0.13,-0.021837606,-0.011906537,-0.009931069,39.53201236,19.52417343,38.39207474,23.57930567,20.99088806,0,-0.091102564,20.23132302,0
